They walked back and forth by the elevators and Mr. Rawlings -- with his gray hair and gray skin and three-piece suit, his comfortable loafers well broken-in and scuffed, who assumed he had fooled Ethan as easily as he had the doorman -- took the envelope full of " tax documents " from his inside breast pocket. As he opened his jacket, Ethan caught the musty smell of upper class men with money and thought, suddenly of Socorro: she believed if she	went	to the most expensive bars and clubs and spent a lot of money, she'd be treated like a lady. Instead, men like Rawlings snubbed her, or tried to use her, looked her over with amusement, put her down.	believe	attitude holder	to the most expensive bars and clubs		natural	COCA; 1992; 1992, Vol. 24 Issue 2/3, p137, 12p; Mr. Norton's Wart Hog.; Lefer, Diane; FIC: Kansas Quarterly 
The storekeeper might say to someone, " Well, here's old Duck. Wonder what he's up to today? " # Someone might say, " Duck, you been up on the hill yet? " or " Seen any new birds lately? " But the questions were meant for each other. They didn't wait for Duck to answer. # In this way he had learned many things about himself. He learned that his neighbors believed he	went	up on the hill to wait for airplanes to pass or to watch birds. He learned that people still spoke of him as a first-rate fiddler although he hadn't played in years. # He even found out what the women thought of him as a man.	believe	protagonist	up on the hill		natural	COCA; 1991 (Jun); # . pg. 46; The Vortex; Hull, Susan; FIC: Iris 
# Jeanie quickly put her spoon down and when Mom	went	into the other room to answer the phone we ducked into the bathroom and flushed our lunches down the toilet. # " That was great, Mim, " said Jeanie when Mom returned. # " May we be excused? " is all I said. I wanted to get away from the table before anything else appeared. # " Don't you want dessert? " Mom asked. # " Sure, " said Jeanie. # " No! " I said. But Mom had already gone to get the cookies. She returned with some strange black lumps on a plate. Jeanie looked at them dubiously, then politely picked one up.	none	3rd	into the other room		natural	CORE; Short Story; Tender at the Bone: Growing Up at the - The New York Times; http://www.nytimes.com/books/first/r/reichl-tender.html
Our mother has turned into a recluse. She will not leave our tiny hometown despite being in perfect health and having a car. All of my siblings and I live between two and six hours away. Two are married with small children. I have made the trip out twice a month since Dad’s death. My siblings have tried, but honestly, they shouldn’t have to. No one wants to sit in hours of traffic when they’re outnumbered by cranky toddlers in the backseat. Our mother puts a lot of pressure and guilt on seeing the grandbabies, but she will not	go	see them herself.	none	3rd	see them		natural	Slate; https://slate.com/human-interest/2019/10/dear-prudence-friends-cocaine-school-fundraiser.html
I opened the door and there on the stoop was Andrea, dressed in jeans and a bulky sweater, cheeks rosy from the night air. An overnight bag rested at her feet. " Hi, " she said, and gave a chipper smile, like a tired Girl Scout determined to keep pimping her cookies. Taken aback, I said, " Hi, " and ushered her in. She	went	into the office and sat in the wooden chair beside my desk. I followed her in, hesitated, and took a seat in my swivel chair. " You look... rattled, " she said. " That about covers it. Good rattled. But rattled, nonetheless. "	none	3rd	into the office		natural	COCA; 2007 (Jul); Vol. 113, Iss. 1; pg. 39, 72 pgs; Stars Seen Through Stone; Shepard, Lucius; FIC: Fantasy & Science Fiction 
I can only decorate my bathroom, as I live in an apartment. I pledge to get pink bathmats and rugs, pink accessories... possibly a pink toilet seat. It will	go	with me when I move.	none	accompaniment	me		natural	CORE; Informational Persuasion; Click right HERE to take the pledge today | Save The Pink Bathrooms; http://savethepinkbathrooms.com/2009/03/25/take-the-pledge-and-share-your-story/ 
Lemonade Stand: A great way to help your kids start to understand money. Set up the stand and ask a reasonable price (anywhere from 25-50 cents per glass depending on their size). Have your kids	go	with you to the store to pick up the lemonade mix or lemons and let them pick out an item they are trying to earn by having the stand.	none	accompaniment	you		natural	CORE; Advice; 120 Free Things To Do With Kids this Summer; http://www.mrfreestuff.com/120-free-things-to-do-with-kids-this-summer/ 
On Saturday I	went	with a friend and her husband to the Guggenheim Museum in Bilbao, a Basque city on the northern edge of Spain that has been revitalized by the stunning titanium and marble building by Frank Gehry. To call it a building does not do it justice. This is no ordinary museum. It is alive, a structure in motion, with titanium scales that move as the light washes over them.	none	accompaniment	3rd		natural	CORE;  Personal Blog; the bottom of the ninth; http://suzannemaggio.typepad.com/ 
Scott was adamant that the first time we go sailing NOT be to the Bahamas, which I get. Scott readied the boat, cleaned her up all spic and span, I made sandwiches and packed the beer and off we	went	with a few of our closest Lauderdale friends. It was a little nerve racking at first: new-to-us boat, unfamiliar engine, new deck layout and feel to the helm. If Scott was nervous, he didn't show it but I had butterflies in my tummy as a myriad of " what if's " scrolled through my worrisome head.	none	accompaniment	sailing		natural	CORE; Travel Blog; Windtraveler; http://www.windtraveler.net/ 
Look at that man over there who is talking to the king’s sons. According to rumors, everybody will soon	go	to his house.	none	homebase	homebase		predicted grammatical	Charnavel (to appear)
Although I wasn't happy, and I didn't quite agree with the situation, I decided to relent and come to him. I wanted to see him, and that was more important to me than the inconvenience of a short bus trip. This would allow him to continue to work while I made my way in. Otherwise, I wouldn't have been able to see him that night. # I	went	home, showered and packed the ingredients for dinner to take into the city. Hauling raw chicken into the city didn't make the most sense, but it was economical and faster than many other options. I was also taking raw pork ribs with me, as I was planning to make myself lunch for the following day.	none	homebase	home		natural	CORE; Personal Blog; One Gay at a Time; http://onegayatatime.com/
Well, everyone wanted to go out and roam around the beautiful city in the beautiful weather, and dragged me along, and I try to be nice and don't like to say no. But it was so melt-my-brain hot that I'd get nauseus every time I set foot outside my hotel room. So it wasn't long before the entire trip was more of a prison sentence than a vacation for me, and I was reduced to counting the hours before we	went	home. And then the trip home was ghastly; stifling heat, cumulative delays, and no chance to get any food along the way due to a series of mishaps, so by the time we arrive in my home town I haven't eaten in 13 hours and am on the verge of collapse and want nothing more than to get back to my apartment immediately.	none	homebase	home		natural	CORE; Opinion Blog; Dysfunctional Families: Everybody lined up for the parade?; http://nielsenhayden.com/makinglight/archives/014378.html 
I think one thing we learned - I hoped we learnt - is to live in an era of diminish expectations. Air travel isn't glamorous. It hasn't been glamorous for a long time. It's not fun, it's a pain. And if you sat on a runway for four hours or sat and stood for an hour and half in a TSA line, you know this to be the case. So if you 're	going	to the airport this Thanksgiving, have low expectations. It's not going to be fun.	none	listener	to the airport		natural	COCA; 2007 (20071115); Americans Brace for Holiday Travel Turbulence; SPOK: NPR_TalkNation 
Eventually, these tropical conditions and some overgrown coral reefs caused the sea to dry up, leaving the salt behind. It would get saltier and saltier and saltier, until, finally, the salt literally settles right out of that water, and forms rock salt. And this happened thousands, tens of thousands of times, and each time it happened, it would add a new layer to the rock column. And so, if you	went	to the Cargill mine, when you look at the walls, you will see these alternating bands. Each one of those layers is like a chapter in the history of the world right here in Cleveland as it existed 400 million years ago.	none	listener	to the Cargill mine		natural	COCA; 2017 (170123); PBS NewsHour for January 23, 2017; SPOK: PBS 
GUY-RAZ# And how did you guys come up with the money for it? TARIQ-FARID# I remember writing a business plan for a flower shop back then and what - going to the bank, say that I - hey, I want to open this. It'll be really quick. It's $120,000 I need. And I did a business plan and presented it to the bank. And of course, they denied me. GUY-RAZ# Yeah, but you - I'm assuming you were, like, 19, 18 years old when you	went	to the bank asking for money. TARIQ-FARID# About 18, yeah.	none	listener	to the bank		natural	COCA;   2017 (170821); SPOK: How I Built This 
 About eight o'clock on Sunday morning she got up to eat a good breakfast , and appeared in good spirits . Throughout the day she went about the house apparently in good health , and ate a good dinner and tea . In the evening she	went	on a visit to a daughter , who lives in Ashton , and while returning along Church-street , about 9.30pm , she was suddenly taken ill and had to be assisted home .	none	protagonist	her daughter		natural	 Wacky 578
On the brink of womanhood, she decided on her 17th birthday that it was time to take matters into her own hands, and with a birthday cake she'd bought for herself in one hand and her backpack in the other, she said goodbye that morning and	went	her own way. She ran away from home instead of going to school.	none	protagonist	her own way		natural	CORE; Narrative + Opinion Hybrid; When Mom's A Convert: The Distance in Your Eyes : The Integrated; http://www.integratedcatholiclife.org/2012/06/trasancos-when-moms-a-convert-the-distance-in-your-eyes/
The woman typed on the keyboard and studied the screen. She frowned and typed in more info. " We have a Matthew Esh, but there's not a David Esh listed. " She jotted down the room number on a small piece of paper. " It's possible he's already been released or perhaps was taken to a different hospital. " // " Maybe so. I'll ask Matthew. " Hannah took the paper from her. " Thank you. " // She	went	to the elevator, trying to mentally prepare to face Matthew's visitors-people she knew, people she was related to, those who'd accused her of wrongdoing before they washed their hands of her.	none	protagonist	to the elevator		natural	COCA; 2008; Colorado Springs, Colo. : WaterBrook Press,Edition: 1st ed; When the soul mends :a novel; Woodsmall, Cindy; FIC: When the soul mends :a novel 
This particular event took place at about 2 am on Sunday morning . All was relatively quiet in the house . I was finishing up some cooking and had taken a break while a bowl of white chocolate cooled before making a frosting for a cake . I	went	into the living room to read a chapter in my book while I waited and noticed that Hobbes was fast asleep on the kitty condo , DH was asleep on the couch , presumably deeply asleep judging by the snoring coming from the depths of the cushions and Selena was curled up on the back of the couch with her nose buried in her tail . Apparently a moth had escaped our notice and had flown past Hobbes ears because I happened to glance his way at the same time his ears twitched .	none	speaker	living room		natural	Wacky 182
 I found my dress quite quickly when I started looking - in the second shop I	went	to ... But since then I have followed the advice of a friend of mine and tried on a whole load more . Not because I think I 'm going to find a better dress - if anythning it 's only convinced me more how much the one I 've found is really really beautiful - but because you only get married once so just take the opportunity to try on as many dresses as you can !	none	speaker	store		natural	 Wacky 399
 I 've got an old Renault Trafic van which makes a superb tent so we retired to the car park and brewed a cup of tea while Josh ate the chocolate , well most of it . He got in his sleeping bag and went back to sleep and I returned to the water to do some serious ` undisturbed ' fishing . By 5am I 'd caught one fish , a roach of about 4oz , well it was a slightly bigger fish . It was getting light now so I	went	and woke Josh and suggested some breakfast . Bacon eggs and fried bread went down very well , he wolfed it down .	none	speaker	X & V		natural	 Wacky 700
28 years later I went to Vietnam because my best friend (Vietnamese) asked me if I would like to meet her sister. I said yes and	went	. I married her sister and have been happily married for almost 8 years.	none	speaker	Vietnam		natural	CORE; Historical Article; Photos: A Look Back at the Vietnam War on the 35th Anniversary of; http://blogs.denverpost.com/captured/2010/04/30/captured-a-look-back-at-the-vietnam-war-on-the-35th-anniversary-of-the-fall-of-saigon/1781/
As the evening was ending, W. pulled my wife and me aside. " Dad would like you to come up to the residence after the party, " he said. # So up we	went	in the elevator with a Secret Service man. When we got off, the president and I fell a safe distance behind my wife, W., and First Lady Barbara Bush, allowing me to privately tell President Bush I was sorry about his defeat.	none	speaker	up in an elevator		natural	CORE; Narrative; The American Scholar: Dubya and Me - Walt Harrington; http://theamericanscholar.org/dubya-and-me/
I did a rough calculation. How far inland would a wave wash if it was double the size of those I could see now? Double and triple size waves... rogue waves... would not be unlikely after a storm like this. When I realized that my shoes would probably get wet, and all the people down at a lower elevation would probably get washed away, if that happened, I	went	back to the car and drove to the clam shack in Ipswich for lunch.	none	speaker	back to the car		natural	CORE;   Informational Blog; What you need to know about Frankenstorm Hurricane Sandy; http://scienceblogs.com/gregladen/2012/10/28/what-you-need-to-know-about-frankestorm-hurricane-sandy/ 
Nikki: When I got there, nobody answered the door. I ended up letting myself in with my old key. Victor: You mean nobody was there? Where was everyone? Nikki: Well, Adam claimed to be alone. He said that Ashley had gone out with Jack, but later on, I saw Jack at the club, and he was not with Ashley. Victor: Well, maybe Adam thought that Ashley had gone out by herself. Nikki: That's what he said this morning when I	went	back to check. But why wouldn't either of them answer the door? Victor: Where was the maid? Nikki: Adam gave her the night off.	none	speaker	back to check		natural	CAS; 2009 (2009-06-10); Young and Restless; Young and Restless 
Bradshaw was out with his metal detector when he made the find of a life time -- a gold cup from around 1600 B.C. Bradshaw telephoned a local archaeologist, who was at first skeptical but quickly changed his mind when he saw a photograph of the object. The discovery alerted authorities to an ancient mound that had been flattened by millennia of plowing, and which was subsequently excavated by the Canterbury Archaeological Trust. Bradshaw, under Britain's 1996 Treasure Act, looks set to share the cup's estimated $350,000 value with the landowner on whose property it was discovered, the cup itself	going	to the British Museum. The find showcases the trust and cooperation that exists between many metal detector enthusiasts and archaeologists in the United Kingdom.	none	theme	to the British Museum		natural	COCA; Jul/Aug2002, Vol. 55 Issue 4, p64, 4p, 3cl Hunting for Treasure; Brodie, Neil; ACAD: Archaeology 
I went once with a friend to a Pentecostal mega-church as support. At that time I did not know those words. He had been invited by some girl he had met and asked me to	go	with him. Being curious I agreed.	other; ask	accompaniment	to a church		natural	CORE; Informational Blog; What is Rumspringa?; http://amishamerica.com/what-is-rumspringa/ 
I see the mailman's truck go by and I know his routine so well; he'll be at my house in fifteen minutes. " I got ta go, " I say, and standing, I take of my Thriftway apron. " I wanted to ask you to	go	to the movies, " he says and I don't have time to think. I have fourteen minutes to check out with my boss and run home.	other; ask	listener	to the movies		natural	COCA; 1990; Winter90, Vol. 26 Issue 1, p107, 12p; Waiting for Hard Times to End; McCorkle, Jill; FIC: Southern Review 
I nurtured my eccentricity. I wanted to be subtly and brilliantly outrageous, but I was clumsy, usually silent and smoldering, sloppily dressed, as out of place as a pigeon on an airport runway. Somehow I got the news that our classes were canceled, and as I stood at my locker rearranging my books, I overheard my classmate Donna Robinson saying to Andi Coldstein, " Ginger was suspicious. Her parents were buying her all kinds of things. A present every day. " I followed Donna down the stairs and asked who was	going	to the funeral. She spun around and glared at me, her long, straight hair moving with her in a dramatic full twirl. " Everyone, " she snapped. " Aren't you? " No, I thought, probably not, but I said nothing and let her walk ahead of me.	other; ask	other	to the funeral		natural	COCA; 2013; May/Jun2013, Vol. 285 Issue 3, p72-92. 7p; Paris in the Twenties; BENEDICT, ELIZABETH; FIC: Saturday Evening Post 
Mr. Suzuki asked me to come to his place yesterday, but I didn’t 	go	.	other; ask	speaker	to his place		predicted grammatical	Nakazawa (speaker-addressee 2007)
My grandmother Gemba's neighborhood came next. The houses got smaller again, modest wooden boxes with neat eaves and pointed roofs. I couldn't see them, but I could smell the roses and honeysuckle vines, full and fragrant. My mother had asked if I was	going	to Gemba's -- I'd gotten into the habit of stopping at her house to drink a Coke, sitting on her front steps while she deadheaded her roses. I said I wasn't, it would be too late. Gemba was asleep by 9:30.	other; ask	speaker	to Gemba's		natural	COCA; 2014; Apr2014, Vol. 45 Issue 1, p19-26. 8p; Track and Field; Robinson, Cynthia; FIC: Arkansas Review: A Journal of Delta Studies 
At first glance this seemed a fair approximation of the woman dancing in my arms. She was big, taller than me but not as big as Max, who had both height and hulk. I had never understood what they call rawboned in books but Jenny was rawboned. You looked at this big farm-girl and you expected her elbows to be rubbed red. She was independent -- picked me up, actually, made the first move, told me where she lived and asked if I was	going	that way, invited me in.	other; ask	speaker	that way		natural	COCA; 1997; 1997, Vol. 82 Issue 4, p506, 25p; The Altman Sonata; Stern, Daniel; FIC: Southwest Review 
Overhead, vapor trails from an F-16 cut gashes into the sky. There was a keyhole opening in the wall in the garden, and through the exposed rebar, we could spot a peacock strutting down Route Irish. It peered back at us through the hole, and it screamed. # We were disappointed when at last the battalion staff sent down the movement order and we discovered we were	going	to Fallujah instead of Fort Stewart, Georgia.	other; discover	attitude holder	to Fallujah		natural	COCA; 2017; Middlebury Vol. 38, Iss. 3,  (2017): 31-41,186.; Havoc; McMillan, Eric; FIC: New England Review 
When Bremser met his wife at a small cafe near the San Francisco Opera house, she was a stunning dark-haired beauty full of zest. He was 20 years her senior and had been twice divorced. They discovered they were each	going	to the opera alone and decided to sit together. The rest isn't exactly history. They went on one date and six weeks later, in the summer of 1992, Lohse visited a Lake Tahoe resort for a family trip. She was standing on a pier with friends and relatives when she lost her balance and fell.	other; discover	attitude holder	to the opera		natural	COCA; 2004 (20040314); REAL ESTATE; Pg. G1; Haven for the disabled;; ; Desperately needed, accessible homes are few and far between; Marsha Ginsburg; NEWS: San Francisco Chronicle 
Saturday is market day in most of the Western world, but the near East End, as we discovered after	going	there one Saturday and finding it deathly quiet, comes alive the following day. On Sunday mornings, the shops are open, street hawkers and buskers shoulder into the lanes off Bishopsgate and bargain-hunters jam the narrow sidewalks.	other; discover	attitude holder	there		natural	COCA; 2002 (20021013); TRAVEL; Pg. C1; History defeated;; ; London^s East End emerges from seedy past and opens its gentrified streets to visitors; David Armstrong; NEWS: San Francisco Chronicle 
Whew! That was a fast week of vacation! I enjoyed it, but I am still wanting more! The thought of having to	go	back to work tomorrow is making me feel icky! With all the stuff that has been going on, I am not excited to go back and deal with adults. I love my kids, so that makes it OK. But the adults? I could do without them.	other; excite	attitude holder	work		natural	CORE; Personal Blog; First Grade - California Style: A week off is not enough!; http://socalteacherstuff.blogspot.com/2012/11/a-week-off-is-not-enough.html 
Tom arrived home at 5pm.The postman had left a pile of letters. The weather was still sunny. What a lovely afternoon! He	went	into the kitchen and opened the window.	other; FID	protagonist	into the kitchen	FID	predicted grammatical	Eckardt 2014:99
Greenlee: How's Madison? Ryan: She's not great, actually. I wanted to stay up there with her, but she insisted that I don't. Greenlee: What did she want? Ryan: She wanted to stay up there and work. You're not happy that I	went	, are you? Greenlee: I didn't say that. Ryan: It's ok, Greenlee. This isn't easy. None of this is easy. Madison and I lost a child together, and we've got to go through it together.	other; happy	speaker	none		natural	CAS; 2011 (2011-06-13); All My Childen; All My Childen
There were two types of sales people, I had decided long ago: the hungry younger ones, moving toward vague vice-presidencies and company cars, and the spent older ones, moving toward retirements and multiple strokes. Cam was definitely part of the latter group. # " Michael, " he said. " You look like absolute hell. " # " Thanks. " # " How was your vacation? I heard that you	went	to Europe. " # " Yes. " # " Did you like it? " # " Loved it. " # " And your wife and kids? " # " I loved them too, " I said, and we both laughed, although at different jokes.	other; hear	listener	Europe		natural	COCA; 2004 (Spring); Vol. 45, Iss. 1; pg. 108, 21 pgs; Code; David Crouse; FIC: The Massachusetts Review 
For a film that cost only $ 14 million, Scream far out-performed expectations. Halloween, considered the prototypical teen slash' em up, grossed just $ 47 million during its long run in the theaters back in 1978. The Silence of the Lambs, Oscar's favorite fright flick, grossed $ 130.7 million. # The intense level of female patronage came as a surprise to Miramax, says the company's president, Mark Gill. # " We knew young women liked the movie a lot and we knew they were	going	, " he says. " But you would have had to have a crystal ball to predict how much they loved it. " # Those associated with Scream suggest four reasons why the film appeals to girls: a hip script that gives female characters funny lines, a cool cast that includes Party of Five's Neve Campbell and Friends' Courteney Cox, an empowering ending and a killer that seems very familiar.	other; know	3rd	none		natural	COCA; 1997 (19971212); NEWS; ''Scream'' movies cultivate special audience: Girls; Janet Weeks; NEWS: USA Today 
She asked Luke, " Where were you by then? " He took a swallow of mead. " I didn't find out till a couple of days later when I came to a junction with some road signs. I was on the west side of Upper Klamath Lake, according to my map. Most of the lake had dried up, but there was still some water and fish. I built my first beacon fire since I was captured, but I slept a good ways from it. Well, I knew if I was	going	over to the east side of the Cascades, I had to do it then. I didn't know how much time I'd lost, but the vine maples had turned, and it was cold at night. So, I went north to Crater Lake. It was a wonderful, strange place. "	other; know	attitude holder	over to the east side of the Cascades		natural	COCA; 1990; New York: Ballantine Books; A Gift Upon the Shore; M.K. Wren; FIC: A Gift Upon the Shore 
PANERO: I'm just so happy to be alive. KING: Did you call your family? PANERO: I did. I did. I called my mother first and she spread out the word to my beautiful girlfriend and my family and my friends, which was great. KING: Did your mother know you were on that particular flight? PANERO: I don't think she knew. I mean she knew I was	going	to Charlotte. And I had called her, actually, before I got on the plane. But she didn't know that it had hit down. When I called her, I told her, listen, I'm in the water. And the plane just crashed, but I'm OK.	other; know	speaker	to Charlotte		natural	COCA; 2009 (090115); Jet Crashes, All 155 Survive; SPOK: CNN Newsroom 
Ms-LEPESTAT: In the 50s it was pretty much a scandal to have a mother who was divorced. Ms-HERLANDS: Yeah. Ms-LEPELSTAT: At first you were embarrassed by it and then you hid it. You said your father was a traveling salesman. Ms-HERLANDS: Probably that's why I have such good memories with you, Sheila, and my other friends. Ms-LEPESTAT: What did you do for fun? Ms-HERLANDS: Oh, what did I do for fun? I taught you how to smoke. Forced you to smoke. Ms-LEPESTAT: My memory of that was that you	went	out to California to see your father and you came back home with flaming red hair at 15 and smoking, and I thought this was the best thing that ever happened to anybody. Ms-HERLANDS: Well, this is what I did. I took you and a few other girls to my house. I bought a pack of every brand possible and everybody was sick and they were choking and I said you're going to learn and you're going to do it right.	other; memory	listener	out to California		natural	COCA; 2006 (20060623); Fast Friends Recall the Summer of '47; STEVE INSKEEP; SPOK: NPR_Morning 
